r-al900,1543882157000,"338,2018,December,4,1,9,Tuesday",89635
r-al900,1543883057000,"338,2018,December,4,1,24,Tuesday",89411
r-al900,1543883957000,"338,2018,December,4,1,39,Tuesday",89208
r-al900,1543884857000,"338,2018,December,4,1,54,Tuesday",89029
r-al900,1543885757000,"338,2018,December,4,2,9,Tuesday",88985
r-al900,1543886657000,"338,2018,December,4,2,24,Tuesday",88841
r-al900,1543887557000,"338,2018,December,4,2,39,Tuesday",88794
r-al900,1543888457000,"338,2018,December,4,2,54,Tuesday",88721
r-al900,1543889357000,"338,2018,December,4,3,9,Tuesday",88697
r-al900,1543890257000,"338,2018,December,4,3,24,Tuesday",88634
r-al900,1543891157000,"338,2018,December,4,3,39,Tuesday",88583
r-al900,1543892057000,"338,2018,December,4,3,54,Tuesday",88561
r-al900,1543892957000,"338,2018,December,4,4,9,Tuesday",88499
r-al900,1543893857000,"338,2018,December,4,4,24,Tuesday",88492
r-al900,1543894757000,"338,2018,December,4,4,39,Tuesday",88473
r-al900,1543895657000,"338,2018,December,4,4,54,Tuesday",88437
r-al900,1543896557000,"338,2018,December,4,5,9,Tuesday",88451
r-al900,1543897457000,"338,2018,December,4,5,24,Tuesday",88491
r-al900,1543898357000,"338,2018,December,4,5,39,Tuesday",88521
r-al900,1543899257000,"338,2018,December,4,5,54,Tuesday",88532
r-al900,1543900157000,"338,2018,December,4,6,9,Tuesday",88753
r-al900,1543901057000,"338,2018,December,4,6,24,Tuesday",88908
r-al900,1543901958000,"338,2018,December,4,6,39,Tuesday",89150
r-al900,1543902858000,"338,2018,December,4,6,54,Tuesday",89405
r-al900,1543903758000,"338,2018,December,4,7,9,Tuesday",89681
r-al900,1543904658000,"338,2018,December,4,7,24,Tuesday",89914
r-al900,1543905558000,"338,2018,December,4,7,39,Tuesday",90048
r-al900,1543906458000,"338,2018,December,4,7,54,Tuesday",90119
r-al900,1543907358000,"338,2018,December,4,8,9,Tuesday",90250
r-al900,1543908258000,"338,2018,December,4,8,24,Tuesday",90350
r-al900,1543909158000,"338,2018,December,4,8,39,Tuesday",90444
r-al900,1543910058000,"338,2018,December,4,8,54,Tuesday",90546
r-al900,1543910958000,"338,2018,December,4,9,9,Tuesday",90650
r-al900,1543911858000,"338,2018,December,4,9,24,Tuesday",90709
r-al900,1543912758000,"338,2018,December,4,9,39,Tuesday",90768
r-al900,1543913658000,"338,2018,December,4,9,54,Tuesday",90731
r-al900,1543914558000,"338,2018,December,4,10,9,Tuesday",90685
r-al900,1543915458000,"338,2018,December,4,10,24,Tuesday",90660
r-al900,1543916358000,"338,2018,December,4,10,39,Tuesday",90732
r-al900,1543917258000,"338,2018,December,4,10,54,Tuesday",90781
r-al900,1543918158000,"338,2018,December,4,11,9,Tuesday",90831
r-al900,1543919058000,"338,2018,December,4,11,24,Tuesday",90960
r-al900,1543919958000,"338,2018,December,4,11,39,Tuesday",91048
r-al900,1543920858000,"338,2018,December,4,11,54,Tuesday",91205
r-al900,1543921758000,"338,2018,December,4,12,9,Tuesday",91303
r-al900,1543922658000,"338,2018,December,4,12,24,Tuesday",91627
r-al900,1543923558000,"338,2018,December,4,12,39,Tuesday",91841
r-al900,1543924458000,"338,2018,December,4,12,54,Tuesday",92080
r-al900,1543925358000,"338,2018,December,4,13,9,Tuesday",92293
r-al900,1543926258000,"338,2018,December,4,13,24,Tuesday",92426
r-al900,1543927158000,"338,2018,December,4,13,39,Tuesday",92049
r-al900,1543928058000,"338,2018,December,4,13,54,Tuesday",92173
r-al900,1543928958000,"338,2018,December,4,14,9,Tuesday",92328
r-al900,1543929858000,"338,2018,December,4,14,24,Tuesday",92675
r-al900,1543930758000,"338,2018,December,4,14,39,Tuesday",92835
r-al900,1543931658000,"338,2018,December,4,14,54,Tuesday",92878
r-al900,1543932558000,"338,2018,December,4,15,9,Tuesday",92856
r-al900,1543933458000,"338,2018,December,4,15,24,Tuesday",92790
r-al900,1543934358000,"338,2018,December,4,15,39,Tuesday",92722
r-al900,1543935258000,"338,2018,December,4,15,54,Tuesday",92681
r-al900,1543936158000,"338,2018,December,4,16,9,Tuesday",92739
r-al900,1543937058000,"338,2018,December,4,16,24,Tuesday",92836
r-al900,1543937958000,"338,2018,December,4,16,39,Tuesday",92913
r-al900,1543938858000,"338,2018,December,4,16,54,Tuesday",93031
r-al900,1543939758000,"338,2018,December,4,17,9,Tuesday",93199
r-al900,1543940658000,"338,2018,December,4,17,24,Tuesday",93408
